Number,Created At,Type,Elapsed Time,Status,Text,Tags,Entered Time
185,2021-08-30 22:37:23,Stopwatch,03:40:10,Completed,literature review,,00:00:00
184,2021-08-28 18:32:12,Stopwatch,07:39:02,Completed,p-cresol GutFunFin,,00:00:00
183,2021-08-27 21:19:30,Stopwatch,07:47:44,Completed,literature review,,00:00:00
182,2021-08-27 20:18:23,Stopwatch,00:02:50,Completed,biowulf,,00:00:00
181,2021-08-27 17:53:28,Stopwatch,01:10:33,Completed,literature review,,00:00:00
180,2021-08-27 15:37:11,Stopwatch,02:16:11,Completed,twerk,,00:00:00
179,2021-08-24 18:00:29,Stopwatch,03:22:59,Completed,group,,00:00:00
178,2021-08-24 15:46:10,Stopwatch,02:14:15,Completed,youtube,,00:00:00
177,2021-08-24 15:46:05,Stopwatch,00:00:02,Completed,review_comments_doc,,00:00:00
176,2021-08-23 19:35:49,Stopwatch,00:09:15,Completed,break,,00:00:00
175,2021-08-23 19:02:04,Timer,00:11:03,Completed,10min,,00:10:00
174,2021-08-23 17:48:48,Stopwatch,04:02:15,Completed,review_comments_doc,,00:00:00
173,2021-08-23 17:32:27,Stopwatch,00:16:06,Completed,list,,00:00:00
172,2021-08-20 18:20:47,Stopwatch,04:17:36,Completed,presentation,,00:00:00
171,2021-08-20 15:48:14,Stopwatch,02:32:30,Completed,focusing,,00:00:00
170,2021-08-20 15:15:30,Timer,00:10:00,Completed,10m,,00:10:00
169,2021-08-19 13:53:11,Stopwatch,09:01:02,Completed,:),,00:00:00
168,2021-08-18 13:32:30,Stopwatch,01:49:26,Completed,:),,00:00:00
167,2021-08-17 20:59:59,Stopwatch,07:44:18,Incomplete,twerk,,00:00:00
166,2021-08-16 12:59:31,Stopwatch,05:46:30,Completed,twerk,,00:00:00
165,2021-08-04 14:34:30,Stopwatch,05:21:27,Completed,twerk,,00:00:00
164,2021-08-03 15:52:48,Stopwatch,05:39:14,Completed,twerk,,00:00:00
163,2021-07-30 14:48:45,Stopwatch,10:11:55,Completed,twerk,,00:00:00
162,2021-07-29 13:43:17,Stopwatch,07:23:20,Completed,werk,,00:00:00
161,2021-07-28 13:30:29,Stopwatch,08:35:31,Completed,werk,,00:00:00
160,2021-07-27 14:03:08,Stopwatch,06:47:04,Completed,werk,,00:00:00
159,2021-07-26 19:08:26,Stopwatch,00:54:32,Completed,break,,00:00:00
158,2021-07-26 16:54:19,Stopwatch,00:25:17,Completed,break,,00:00:00
157,2021-07-26 15:13:17,Stopwatch,00:07:21,Completed,lunch,,00:00:00
156,2021-07-26 14:07:43,Stopwatch,07:36:30,Completed,werk,,00:00:00
155,2021-07-23 13:36:22,Stopwatch,04:52:26,Completed,werk,,00:00:00
154,2021-07-20 20:22:29,Stopwatch,03:58:11,Completed,werk,,00:00:00
153,2021-07-20 16:30:33,Stopwatch,01:13:06,Completed,break,,00:00:00
152,2021-07-20 13:50:38,Stopwatch,00:23:53,Completed,neck,,00:00:00
151,2021-07-20 13:28:49,Stopwatch,02:07:21,Incomplete,werk,,00:00:00
150,2021-07-20 13:28:44,Stopwatch,00:00:04,Incomplete,planning,,00:00:00
149,2021-07-20 13:05:09,Stopwatch,00:23:35,Incomplete,planning,,00:00:00
148,2021-07-20 13:01:32,Stopwatch,00:03:33,Incomplete,email,,00:00:00
147,2021-07-20 13:01:28,Stopwatch,00:00:02,Incomplete,werk :),,00:00:00
146,2021-07-19 19:13:24,Stopwatch,02:07:30,Completed,,,00:00:00
145,2021-07-19 14:31:58,Stopwatch,02:48:36,Incomplete,werk,,00:00:00
144,2021-07-15 16:23:21,Timer,00:20:00,Completed,20m,,00:20:00
143,2021-07-15 16:21:16,Timer,00:02:00,Completed,2m,,00:02:00
142,2021-07-15 15:59:39,Stopwatch,00:21:35,Completed,werk,,00:00:00
141,2021-07-15 15:57:09,Timer,00:02:00,Completed,2m,,00:02:00
140,2021-07-15 15:30:09,Stopwatch,00:26:57,Incomplete,werk,,00:00:00
139,2021-07-14 14:15:51,Stopwatch,05:06:48,Completed,werk,,00:00:00
138,2021-07-13 16:52:56,Stopwatch,01:20:35,Completed,werk,,00:00:00
137,2021-07-12 17:05:45,Stopwatch,00:36:16,Completed,lunch,,00:00:00
136,2021-07-12 14:04:29,Stopwatch,05:02:41,Completed,werk,,00:00:00
135,2021-07-09 20:16:44,Timer,00:02:00,Completed,2m,,00:02:00
134,2021-07-09 20:14:39,Timer,00:02:00,Completed,2m,,00:02:00
133,2021-07-09 19:09:28,Stopwatch,02:30:16,Completed,twerk ;),,00:00:00
132,2021-07-09 15:23:46,Stopwatch,00:07:11,Completed,werk,,00:00:00
131,2021-07-09 14:02:36,Stopwatch,00:45:22,Trashed,werk,,00:00:00
130,2021-07-08 15:21:40,Stopwatch,05:18:17,Completed,werk,,00:00:00
129,2021-07-07 14:21:24,Stopwatch,06:40:05,Completed,werk,,00:00:00
128,2021-07-06 17:17:14,Timer,00:02:00,Completed,2m #break,#break,00:02:00
127,2021-07-06 16:57:04,Timer,00:20:00,Completed,20m #werk,#werk,00:20:00
126,2021-07-06 15:31:07,Timer,00:02:00,Completed,2m #break,#break,00:02:00
125,2021-07-06 15:10:25,Timer,00:20:00,Completed,20m #werk,#werk,00:20:00
124,2021-07-06 15:08:04,Timer,00:02:00,Completed,2m #break,#break,00:02:00
123,2021-07-06 14:47:33,Timer,00:20:00,Completed,20m #werk,#werk,00:20:00
122,2021-07-06 14:47:23,Stopwatch,00:00:03,Trashed,werk,,00:00:00
121,2021-06-30 14:21:18,Stopwatch,06:36:54,Completed,werk,,00:00:00
120,2021-06-29 20:59:17,Stopwatch,00:10:26,Incomplete,werk,,00:00:00
119,2021-06-29 20:37:15,Stopwatch,00:07:29,Incomplete,werk,,00:00:00
118,2021-06-29 17:20:19,Stopwatch,01:17:27,Completed,werk,,00:00:00
117,2021-06-28 14:43:30,Stopwatch,04:32:18,Completed,werk,,00:00:00
116,2021-06-25 15:27:45,Stopwatch,04:21:34,Completed,werk,,00:00:00
115,2021-06-23 16:45:59,Stopwatch,03:57:40,Completed,werk,,00:00:00
113,2021-06-23 14:05:04,Stopwatch,02:01:26,Incomplete,werk,,00:00:00
112,2021-06-22 13:45:03,Stopwatch,02:52:00,Completed,werk,,00:00:00
111,2021-06-21 21:49:30,Stopwatch,01:25:49,Completed,werk,,00:00:00
110,2021-06-21 14:02:56,Stopwatch,05:58:05,Incomplete,werk,,00:00:00
109,2021-06-18 16:14:14,Stopwatch,04:24:42,Completed,werk,,00:00:00
108,2021-06-17 16:12:03,Stopwatch,04:30:35,Completed,werk,,00:00:00
107,2021-06-17 14:04:59,Stopwatch,01:06:54,Completed,break,,00:00:00
106,2021-06-17 13:01:29,Stopwatch,01:50:08,Incomplete,werk,,00:00:00
105,2021-06-17 12:39:44,Timer,00:10:00,Completed,10min,,00:10:00
104,2021-06-16 13:32:12,Stopwatch,04:22:03,Completed,werk,,00:00:00
103,2021-06-15 16:23:52,Stopwatch,01:30:32,Trashed,werk,,00:00:00
102,2021-06-11 16:27:23,Stopwatch,07:33:24,Incomplete,,,00:00:00
101,2021-06-11 14:33:18,Stopwatch,02:36:05,Incomplete,,,00:00:00
100,2021-06-01 17:00:39,Stopwatch,06:46:24,Completed,,,00:00:00
99,2021-05-25 17:25:15,Timer,00:10:00,Completed,10m,,00:10:00
98,2021-05-07 01:25:46,Stopwatch,04:08:00,Completed,,,00:00:00
97,2021-05-07 01:18:09,Stopwatch,00:07:37,Incomplete,,,00:00:00
96,2021-05-07 00:58:03,Stopwatch,00:20:06,Incomplete,,,00:00:00
95,2021-05-07 00:51:36,Stopwatch,00:06:27,Incomplete,,,00:00:00
