Number,Created At,Type,Elapsed Time,Status,Text,Tags,Entered Time
201,2021-09-03 21:57:38,Stopwatch,00:03:45,Completed,productivity analysis,,00:00:00
200,2021-09-03 20:01:50,Stopwatch,01:51:03,Completed,literature review,,00:00:00
199,2021-09-03 14:42:38,Stopwatch,04:16:52,Completed,cdiff rnaseq,,00:00:00
198,2021-09-02 16:49:20,Stopwatch,01:20:39,Completed,cdiff rnaseq,,00:00:00
197,2021-09-02 16:43:48,Stopwatch,00:10:00,Completed,meeting,,00:00:00
196,2021-09-02 13:21:51,Stopwatch,03:21:53,Completed,cdiff rnaseq,,00:00:00
195,2021-09-01 16:08:59,Stopwatch,04:24:22,Completed,cdiff rnaseq,,00:00:00
194,2021-09-01 15:05:35,Stopwatch,01:00:01,Completed,meeting,,00:00:00
193,2021-09-01 12:42:47,Stopwatch,01:53:45,Completed,literature review,,00:00:00
192,2021-09-01 02:25:12,Stopwatch,00:00:30,Completed,ripart,,00:00:00
190,2021-08-31 21:47:02,Stopwatch,04:11:37,Completed,ripart,,00:00:00
186,2021-08-31 17:08:09,Stopwatch,02:11:09,Completed,time_managment,,00:00:00
185,2021-08-30 22:37:23,Stopwatch,03:40:10,Completed,literature review,,00:00:00
